187, 34, 147, 0, 1, 77, 1, 0, 3, 254, 13, 223, , 300.000000
153, 247, 89, 1, 0, 99, 0, 0, 4, 249, 215, 38, , 300.000000
223, 96, 99, 0, 1, 31, 0, 0, 2, 84, 47, 141, , 300.000000
82, 106, 30, 1, 0, 21, 0, 0, 0, 81, 156, 22, , 300.000000
195, 113, 99, 1, 0, 79, 1, 1, 0, 72, 126, 230, , 300.000000
76, 91, 31, 1, 0, 48, 0, 0, 4, 52, 9, 95, , 300.000000
181, 181, 178, 0, 1, 60, 1, 0, 2, 57, 17, 152, , 300.000000
158, 153, 190, 1, 1, 35, 1, 1, 4, 143, 245, 16, , 300.000000
102, 139, 101, 0, 1, 10, 1, 0, 4, 136, 98, 145, , 300.000000
49, 46, 77, 1, 0, 79, 1, 1, 1, 111, 16, 83, , 300.000000
211, 118, 67, 0, 0, 56, 0, 1, 2, 129, 211, 52, , 300.000000
228, 86, 136, 1, 0, 56, 1, 1, 2, 138, 189, 238, , 300.000000
228, 0, 64, 0, 0, 90, 1, 0, 3, 194, 26, 147, , 300.000000
255, 100, 217, 1, 1, 88, 0, 0, 2, 36, 37, 45, , 300.000000
96, 219, 121, 1, 0, 26, 0, 1, 3, 97, 56, 230, , 300.000000
121, 187, 187, 1, 0, 97, 1, 0, 3, 68, 166, 166, , 300.000000
62, 17, 66, 0, 1, 23, 1, 0, 4, 104, 126, 209, , 300.000000
232, 4, 74, 0, 0, 15, 0, 0, 1, 218, 34, 219, , 300.000000
178, 90, 46, 0, 1, 98, 1, 1, 4, 242, 255, 157, , 300.000000
39, 65, 167, 0, 0, 21, 1, 1, 0, 39, 248, 41, , 300.000000
252, 89, 137, 0, 1, 84, 0, 0, 1, 114, 98, 6, , 300.000000
202, 64, 106, 0, 1, 42, 0, 0, 4, 225, 74, 240, , 300.000000
95, 166, 149, 1, 1, 80, 1, 1, 1, 67, 139, 247, , 300.000000
67, 132, 213, 0, 1, 76, 1, 0, 4, 223, 150, 170, , 300.000000
54, 117, 124, 0, 0, 95, 1, 0, 2, 151, 246, 140, , 300.000000
157, 11, 254, 0, 1, 52, 1, 0, 1, 187, 215, 178, , 300.000000
238, 92, 192, 1, 1, 52, 1, 1, 4, 242, 247, 134, , 300.000000
90, 64, 244, 0, 0, 9, 1, 1, 1, 62, 173, 38, , 300.000000
172, 178, 217, 0, 1, 61, 0, 1, 0, 69, 170, 229, , 300.000000
136, 159, 121, 1, 0, 16, 1, 0, 0, 20, 9, 248, , 300.000000
247, 1, 104, 1, 1, 65, 1, 1, 2, 217, 207, 59, , 300.000000
59, 187, 125, 1, 0, 36, 0, 1, 3, 136, 8, 47, , 300.000000
215, 28, 169, 0, 0, 82, 1, 1, 0, 229, 168, 50, , 300.000000
72, 16, 70, 0, 1, 68, 1, 0, 2, 91, 119, 14, , 300.000000
178, 195, 37, 1, 1, 17, 0, 1, 1, 212, 60, 238, , 300.000000
172, 247, 236, 0, 0, 40, 0, 1, 2, 48, 154, 187, , 300.000000
152, 2, 121, 1, 1, 58, 0, 0, 0, 206, 135, 50, , 300.000000
160, 44, 91, 0, 0, 15, 0, 1, 1, 191, 154, 183, , 300.000000
121, 18, 86, 0, 0, 49, 1, 1, 2, 191, 255, 136, , 300.000000
41, 23, 216, 0, 0, 43, 1, 1, 4, 165, 254, 146, , 300.000000
139, 18, 2, 1, 0, 6, 1, 0, 3, 152, 99, 55, , 300.000000
142, 193, 119, 0, 0, 51, 0, 1, 1, 79, 200, 78, , 300.000000
57, 15, 250, 0, 0, 15, 1, 0, 0, 66, 42, 251, , 300.000000
245, 217, 26, 1, 0, 76, 1, 0, 3, 116, 42, 108, , 300.000000
40, 213, 220, 1, 0, 42, 1, 0, 2, 213, 83, 69, , 300.000000
182, 84, 24, 1, 0, 55, 1, 0, 2, 198, 99, 151, , 300.000000
23, 82, 28, 0, 1, 27, 1, 1, 4, 37, 30, 155, , 300.000000
102, 168, 34, 1, 0, 89, 0, 0, 0, 62, 175, 57, , 300.000000
236, 59, 87, 1, 1, 85, 0, 0, 1, 69, 82, 94, , 300.000000
193, 114, 106, 0, 0, 6, 0, 1, 0, 26, 91, 117, , 300.000000
181, 206, 216, 0, 1, 27, 1, 0, 2, 7, 159, 91, , 300.000000
221, 97, 8, 0, 0, 67, 0, 0, 1, 86, 23, 255, , 300.000000
134, 186, 200, 0, 0, 77, 1, 1, 4, 145, 101, 69, , 300.000000
128, 152, 237, 0, 1, 65, 0, 1, 3, 150, 101, 91, , 300.000000
1, 159, 17, 1, 1, 64, 0, 0, 1, 87, 165, 177, , 300.000000
168, 161, 75, 1, 1, 51, 1, 0, 3, 152, 32, 18, , 300.000000
174, 201, 181, 1, 0, 87, 0, 1, 1, 19, 154, 0, , 300.000000
35, 187, 10, 1, 0, 73, 1, 1, 3, 254, 232, 183, , 300.000000
50, 238, 255, 0, 1, 28, 1, 0, 1, 113, 236, 76, , 300.000000
20, 87, 186, 1, 1, 100, 0, 0, 3, 147, 168, 95, , 300.000000
172, 73, 3, 1, 1, 23, 1, 1, 2, 230, 230, 136, , 300.000000
134, 189, 39, 0, 1, 60, 1, 0, 1, 185, 22, 247, , 300.000000
67, 227, 207, 1, 0, 46, 1, 0, 0, 56, 112, 126, , 300.000000
198, 216, 119, 0, 1, 85, 0, 0, 4, 2, 239, 110, , 300.000000
190, 148, 65, 1, 0, 96, 0, 1, 1, 239, 6, 131, , 300.000000
0, 152, 197, 0, 1, 82, 0, 0, 1, 136, 79, 156, , 300.000000
7, 165, 251, 1, 0, 43, 0, 0, 3, 226, 200, 178, , 300.000000
220, 221, 159, 1, 1, 51, 1, 0, 2, 178, 107, 146, , 300.000000
247, 163, 57, 0, 0, 62, 1, 0, 4, 100, 197, 243, , 300.000000
188, 120, 208, 1, 0, 86, 0, 1, 3, 6, 137, 226, , 300.000000
166, 213, 206, 0, 1, 43, 1, 1, 3, 4, 154, 78, , 300.000000
73, 168, 52, 0, 0, 17, 1, 1, 3, 29, 201, 136, , 300.000000
48, 126, 102, 1, 0, 17, 1, 0, 4, 28, 234, 81, , 300.000000
6, 16, 44, 0, 1, 76, 0, 1, 2, 250, 53, 160, , 300.000000
140, 69, 183, 0, 0, 46, 0, 1, 0, 238, 21, 222, , 300.000000
207, 138, 115, 1, 0, 89, 0, 1, 0, 105, 64, 222, , 300.000000
197, 245, 71, 0, 0, 82, 0, 1, 3, 244, 14, 232, , 300.000000
112, 116, 18, 0, 0, 81, 1, 1, 4, 20, 55, 99, , 300.000000
50, 173, 116, 1, 0, 66, 1, 1, 2, 229, 217, 111, , 300.000000
226, 115, 14, 0, 0, 98, 1, 1, 3, 30, 45, 83, , 300.000000
