188, 63, 19, 1, 1, 22, 0, 1, 2, 188, 178, 52, 
36, 28, 49, 1, 1, 53, 0, 1, 1, 125, 214, 196, 
132, 125, 120, 1, 0, 88, 0, 1, 1, 164, 159, 151, 
8, 190, 180, 1, 0, 32, 1, 0, 0, 127, 217, 127, 
155, 114, 28, 0, 0, 29, 0, 1, 3, 144, 94, 161, 
99, 212, 91, 0, 0, 76, 1, 1, 1, 117, 118, 7, 
67, 201, 239, 0, 1, 87, 0, 1, 1, 78, 210, 36, 
175, 126, 240, 1, 1, 44, 0, 0, 4, 49, 154, 102, 
211, 112, 207, 0, 0, 74, 0, 1, 4, 77, 130, 132, 
22, 55, 162, 0, 0, 98, 0, 0, 2, 182, 235, 3, 
184, 62, 115, 0, 0, 50, 1, 0, 0, 149, 56, 217, 
166, 243, 95, 1, 0, 52, 1, 0, 4, 193, 171, 205, 
29, 146, 3, 0, 0, 86, 1, 0, 4, 215, 59, 253, 
237, 182, 220, 0, 0, 29, 0, 1, 2, 142, 204, 84, 
220, 211, 126, 1, 1, 65, 0, 0, 3, 163, 221, 192, 
117, 104, 54, 1, 0, 53, 1, 0, 3, 2, 168, 232, 
87, 249, 47, 1, 0, 15, 1, 0, 2, 88, 216, 132, 
251, 99, 201, 0, 1, 25, 1, 0, 3, 95, 171, 252, 
223, 44, 93, 1, 1, 54, 1, 0, 4, 71, 187, 133, 
88, 207, 127, 0, 1, 3, 0, 0, 4, 116, 113, 143, 
40, 144, 49, 0, 1, 5, 1, 0, 0, 187, 92, 216, 
165, 186, 25, 0, 0, 38, 1, 0, 3, 233, 132, 252, 
87, 204, 103, 1, 0, 36, 0, 0, 4, 206, 120, 99, 
25, 133, 34, 1, 1, 96, 1, 0, 0, 140, 103, 195, 
31, 9, 121, 1, 1, 37, 1, 0, 4, 225, 118, 93, 
88, 86, 135, 0, 1, 5, 1, 1, 3, 67, 209, 127, 
183, 227, 86, 1, 0, 98, 1, 1, 1, 243, 211, 246, 
164, 5, 91, 1, 0, 37, 0, 1, 1, 66, 224, 251, 
252, 32, 144, 0, 0, 19, 0, 0, 1, 86, 98, 76, 
187, 34, 91, 0, 1, 79, 0, 0, 1, 40, 38, 175, 
200, 111, 132, 1, 1, 65, 1, 0, 4, 68, 114, 89, 
175, 31, 203, 0, 0, 29, 0, 1, 4, 253, 185, 76, 
184, 228, 238, 0, 1, 10, 0, 0, 4, 12, 225, 25, 
160, 244, 83, 0, 0, 59, 0, 0, 3, 189, 57, 150, 
53, 17, 78, 0, 1, 77, 1, 0, 4, 242, 156, 172, 
243, 2, 122, 1, 1, 29, 1, 1, 1, 43, 50, 163, 
62, 200, 46, 1, 1, 81, 1, 1, 1, 81, 228, 43, 
129, 32, 9, 0, 1, 29, 0, 0, 0, 179, 36, 99, 
95, 151, 180, 1, 1, 64, 1, 1, 0, 41, 215, 159, 
102, 16, 208, 1, 1, 34, 1, 0, 0, 235, 60, 132, 
153, 131, 222, 0, 1, 37, 1, 1, 2, 119, 237, 230, 
14, 89, 189, 0, 0, 64, 0, 1, 1, 214, 141, 246, 
